memory,cardinality,total_elements,average_time,algorithm,hash_function,average_error,average_estimated_cardinality,nb_of_run16,953,10000,0.018999814987182617,REC,SHA-256,0.16789087093389296,1113.0,116,960,10000,0.020032405853271484,REC,SHA-256,0.03333333333333333,928.0,1
16,960,10000,0.0070018768310546875,REC,xxHash32,0.159375,1113.0,1
16,960,10000,0.002969503402709961,REC,Python Hash,5.734375,6465.0,1
16,960,10000,0.10164856910705566,REC,RandomHashFamily,17.878125,18123.0,1
32,960,10000,0.018886089324951172,REC,SHA-256,0.13125,834.0,1
32,960,10000,0.007999658584594727,REC,xxHash32,0.6583333333333333,1592.0,1
32,960,10000,0.0030307769775390625,REC,Python Hash,2.472916666666667,3334.0,1
32,960,10000,0.10121536254882812,REC,RandomHashFamily,7.221875,7893.0,1
64,960,10000,0.021010398864746094,REC,SHA-256,0.140625,825.0,1
64,960,10000,0.009001016616821289,REC,xxHash32,0.26666666666666666,1216.0,1
64,960,10000,0.003998279571533203,REC,Python Hash,1.8385416666666667,2725.0,1
64,960,10000,0.10198616981506348,REC,RandomHashFamily,8.227083333333333,8858.0,1
128,960,10000,0.024033546447753906,REC,SHA-256,0.07604166666666666,887.0,1
128,960,10000,0.011998891830444336,REC,xxHash32,0.24270833333333333,1193.0,1
128,960,10000,0.00897073745727539,REC,Python Hash,1.1104166666666666,2026.0,1
128,960,10000,0.10689544677734375,REC,RandomHashFamily,8.557291666666666,9175.0,1
256,960,10000,0.032532453536987305,REC,SHA-256,0.013541666666666667,947.0,1
256,960,10000,0.019959211349487305,REC,xxHash32,0.06666666666666667,1024.0,1
256,960,10000,0.018992900848388672,REC,Python Hash,0.5885416666666666,1525.0,1
256,960,10000,0.11837339401245117,REC,RandomHashFamily,9.866666666666667,10432.0,1
512,960,10000,0.04695773124694824,REC,SHA-256,0.0020833333333333333,962.0,1
512,960,10000,0.034256696701049805,REC,xxHash32,0.004166666666666667,956.0,1
512,960,10000,0.0379328727722168,REC,Python Hash,0.20208333333333334,1154.0,1
512,960,10000,0.1592109203338623,REC,RandomHashFamily,9.932291666666666,10495.0,1
1024,960,10000,0.04998445510864258,REC,SHA-256,0.0010416666666666667,961.0,1
1024,960,10000,0.03700685501098633,REC,xxHash32,0.0010416666666666667,961.0,1
1024,960,10000,0.03319358825683594,REC,Python Hash,0.0010416666666666667,961.0,1
1024,960,10000,0.2966165542602539,REC,RandomHashFamily,9.769791666666666,10339.0,1
2048,960,10000,0.04901599884033203,REC,SHA-256,0.253125,1203.0,1
2048,960,10000,0.035210371017456055,REC,xxHash32,0.253125,1203.0,1
2048,960,10000,0.03296208381652832,REC,Python Hash,0.253125,1203.0,1
2048,960,10000,0.6717612743377686,REC,RandomHashFamily,9.582291666666666,10159.0,1
16,960,10000,0.04427218437194824,HLL,SHA-256,0.3359571213489912,637.4811635049684,1
16,960,10000,0.03003406524658203,HLL,xxHash32,0.13615991756826393,1090.7135208655334,1
16,960,10000,0.025040149688720703,HLL,Python Hash,0.19917694399129976,1151.2098662316478,1
16,960,10000,0.03987431526184082,HLL,RandomHashFamily,0.6120514619883042,1547.569403508772,1
64,960,10000,0.04597067832946777,HLL,SHA-256,0.18967542563163525,777.9115913936301,1
64,960,10000,0.030005931854248047,HLL,xxHash32,0.03748413854698699,995.9847730051075,1
64,960,10000,0.025029420852661133,HLL,Python Hash,0.13002034351725175,1084.8195297765617,1
64,960,10000,0.03997063636779785,HLL,RandomHashFamily,0.01880225840048233,978.050168064463,1
256,960,10000,0.04599428176879883,HLL,SHA-256,0.10258765939779088,861.5158469781207,1
256,960,10000,0.030972003936767578,HLL,xxHash32,0.013029440213291702,947.49173739524,1
256,960,10000,0.024998188018798828,HLL,Python Hash,0.0076590258924035485,967.3526648567074,1
256,960,10000,0.04199862480163574,HLL,RandomHashFamily,0.24282851736857344,1193.1153766738305,1
512,960,10000,0.04500007629394531,HLL,SHA-256,0.003528425786621862,963.387288755157,1
512,960,10000,0.03099989891052246,HLL,xxHash32,0.03599582602869648,925.4440070124514,1
512,960,10000,0.023956298828125,HLL,Python Hash,0.04230753677376467,919.3847646971859,1
512,960,10000,0.040968894958496094,HLL,RandomHashFamily,0.33799981445115296,1284.4798218731069,1
16,8764,100000,0.1936032772064209,REC,SHA-256,0.05979005020538567,8240.0,1
16,8764,100000,0.06890153884887695,REC,xxHash32,0.16716111364673664,7299.0,1
16,8764,100000,0.02727794647216797,REC,Python Hash,1.8002053856686444,24541.0,1
16,8764,100000,1.0220873355865479,REC,RandomHashFamily,11.747832040164308,111722.0,1
32,8764,100000,0.1931753158569336,REC,SHA-256,0.5196257416704702,13318.0,1
32,8764,100000,0.06535911560058594,REC,xxHash32,0.012323140118667275,8656.0,1
32,8764,100000,0.027032136917114258,REC,Python Hash,2.180511182108626,27874.0,1
32,8764,100000,1.012556552886963,REC,RandomHashFamily,14.755819260611593,138084.0,1
64,8764,100000,0.19582271575927734,REC,SHA-256,0.19865358283888634,10505.0,1
64,8764,100000,0.07028841972351074,REC,xxHash32,0.1265403925148334,9873.0,1
64,8764,100000,0.028745412826538086,REC,Python Hash,1.8563441350981287,25033.0,1
64,8764,100000,1.0072941780090332,REC,RandomHashFamily,9.344135098128708,90656.0,1
128,8764,100000,0.19652962684631348,REC,SHA-256,0.12288909173893199,9841.0,1
128,8764,100000,0.07540202140808105,REC,xxHash32,0.2138293016887266,10638.0,1
128,8764,100000,0.0368647575378418,REC,Python Hash,2.2868553172067547,28806.0,1
128,8764,100000,1.0327813625335693,REC,RandomHashFamily,9.644910999543587,93292.0,1
