memory,cardinality,total_elements,average_time,algorithm,hash_function,average_error,average_estimated_cardinality,nb_of_run
16,99,1000,0.004865884780883789,HLL,SHA-256,0.06550051788437444,105.48455127055307,1
16,99,1000,0.0030012130737304688,HLL,xxHash32,0.2652109450916693,125.25588356407526,1
16,99,1000,0.002000570297241211,HLL,Python Hash,0.09723930285632407,89.37330901722392,1
16,99,1000,0.00409698486328125,HLL,RandomHashFamily,0.0034063154063154067,99.33722522522523,1
64,99,1000,0.003999233245849609,HLL,SHA-256,0.030421802600814674,102.01175845748065,1
64,99,1000,0.0030002593994140625,HLL,xxHash32,0.1430013806523114,84.84286331542117,1
64,99,1000,0.002000570297241211,HLL,Python Hash,0.08216658331906042,107.13449174858698,1
64,99,1000,0.014000415802001953,HLL,RandomHashFamily,0.6481261711033998,163.16449093923657,1
256,99,1000,0.0038437843322753906,HLL,SHA-256,0.028351916389131492,101.80683972252402,1
256,99,1000,0.0029993057250976562,HLL,xxHash32,0.06031477866672535,93.02883691199419,1
256,99,1000,0.003000020980834961,HLL,Python Hash,0.07480141927742699,91.59465949153473,1
256,99,1000,0.003598928451538086,HLL,RandomHashFamily,0.24788987203903529,123.54109733186449,1
512,99,1000,0.004000186920166016,HLL,SHA-256,0.012062597725744695,100.19419717484872,1
512,99,1000,0.0034651756286621094,HLL,xxHash32,0.02465980867206478,96.55867894146559,1
512,99,1000,0.0029993057250976562,HLL,Python Hash,0.06112330053361395,92.94879324717222,1
512,99,1000,0.004000186920166016,HLL,RandomHashFamily,0.09877605476431311,108.778829421667,1
16,959,10000,0.04599905014038086,HLL,SHA-256,0.3352646887330882,637.4811635049684,1
16,959,10000,0.03099989891052246,HLL,xxHash32,0.036425337426016044,993.9318985915494,1
16,959,10000,0.025599241256713867,HLL,Python Hash,0.06616498785219374,895.5477766497462,1
16,959,10000,0.044101715087890625,HLL,RandomHashFamily,0.1423519935052781,822.4844382284383,1
64,959,10000,0.04611706733703613,HLL,SHA-256,0.14215412708084518,822.6741921294695,1
64,959,10000,0.031716108322143555,HLL,xxHash32,0.019168632252248973,940.6172816700932,1
64,959,10000,0.026462078094482422,HLL,Python Hash,0.03466745716867361,992.246091424758,1
64,959,10000,0.05164694786071777,HLL,RandomHashFamily,0.0961111237661771,1051.1705676917638,1
256,959,10000,0.04634523391723633,HLL,SHA-256,0.08729677607176084,875.2823917471814,1
256,959,10000,0.03200197219848633,HLL,xxHash32,0.010439306817878635,948.9887047616544,1
256,959,10000,0.024652719497680664,HLL,Python Hash,0.04634450671661598,1003.4443819412347,1
256,959,10000,0.04172778129577637,HLL,RandomHashFamily,0.11099723996371878,1065.4463531252063,1
512,959,10000,0.04736495018005371,HLL,SHA-256,0.011463849876060367,969.9938320311419,1
512,959,10000,0.03287506103515625,HLL,xxHash32,0.002226373767348354,956.8649075571129,1
512,959,10000,0.02599930763244629,HLL,Python Hash,0.04730881656309449,1004.3691550840076,1
512,959,10000,0.04200124740600586,HLL,RandomHashFamily,0.43757272016849463,1378.6322386415864,1
16,17236,100000,0.446683406829834,HLL,SHA-256,0.04783977289286355,16411.433674418604,1
16,17236,100000,0.30957698822021484,HLL,xxHash32,0.03093752034066582,16702.760899408284,1
